k_wil;nama_sls;rt;art;validasi;perlakuan;cek;catatan
1206081013000100-35                            ;DUSUN 1;35;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081013000100-36                            ;DUSUN 1;36;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081013000100-38                            ;DUSUN 1;38;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081013000100-40                            ;DUSUN 1;40;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081013000200-12                            ;DUSUN 2;12;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081013000200-22                            ;DUSUN 2;22;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081013000200-23                            ;DUSUN 2;23;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081013000200-35                            ;DUSUN 2;35;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081013000200-37                            ;DUSUN 2;37;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081013000200-38                            ;DUSUN 2;38;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081013000200-39                            ;DUSUN 2;39;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081013000300-1                             ;DUSUN 3;1;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081013000300-16                            ;DUSUN 3;16;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081013000300-4                             ;DUSUN 3;4;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081015000100-13                            ;DUSUN 1 DOLOK NAGODANG;13;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081015000100-68                            ;DUSUN 1 DOLOK NAGODANG;68;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081015000100-76                            ;DUSUN 1 DOLOK NAGODANG;76;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081015000200-16                            ;DUSUN 2 LBN LINTONG;16;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081016000100-56                            ;DUSUN 1 PARGODUNGAN;56;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081017000100-11                            ;DUSUN 1 LBN PALIA;11;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081017000100-12                            ;DUSUN 1 LBN PALIA;12;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081017000100-27                            ;DUSUN 1 LBN PALIA;27;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081017000100-4                             ;DUSUN 1 LBN PALIA;4;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081017000200-1                             ;DUSUN 2 LBN SIRAIT;1;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081017000200-4                             ;DUSUN 2 LBN SIRAIT;4;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081017000300-22                            ;DUSUN 3 PARBAGASAN;22;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081017000400-30                            ;DUSUN 4 PARDAPDAP;30;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081018000100-5                             ;DUSUN 1 SAMPUARA;5;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081018000100-53                            ;DUSUN 1 SAMPUARA;53;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081018000200-1                             ;DUSUN 2 SAITNIHUTA;1;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081018000400-13                            ;DUSUN 4 PANAMEAN;13;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081018000400-23                            ;DUSUN 4 PANAMEAN;23;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206081018000400-49                            ;DUSUN 4 PANAMEAN;49;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082001000100-39                            ;DUSUN 1;39;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082001000100-47                            ;DUSUN 1;47;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082001000300-11                            ;DUSUN 3;11;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082001000400-1                             ;DUSUN 4;1;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082001000400-10                            ;DUSUN 4;10;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082001000400-11                            ;DUSUN 4;11;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082001000400-15                            ;DUSUN 4;15;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082001000400-2                             ;DUSUN 4;2;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082001000400-3                             ;DUSUN 4;3;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082001000400-4                             ;DUSUN 4;4;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082001000400-5                             ;DUSUN 4;5;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082001000400-6                             ;DUSUN 4;6;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082001000400-7                             ;DUSUN 4;7;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082001000400-8                             ;DUSUN 4;8;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082001000400-9                             ;DUSUN 4;9;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082002000100-10                            ;DUSUN 1;10;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082002000100-11                            ;DUSUN 1;11;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082002000100-12                            ;DUSUN 1;12;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082002000100-13                            ;DUSUN 1;13;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082002000100-16                            ;DUSUN 1;16;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082002000100-18                            ;DUSUN 1;18;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082002000100-20                            ;DUSUN 1;20;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082002000100-40                            ;DUSUN 1;40;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082002000100-41                            ;DUSUN 1;41;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082002000100-57                            ;DUSUN 1;57;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082002000100-58                            ;DUSUN 1;58;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082002000100-6                             ;DUSUN 1;6;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082002000100-60                            ;DUSUN 1;60;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082002000100-69                            ;DUSUN 1;69;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082002000100-7                             ;DUSUN 1;7;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082002000100-70                            ;DUSUN 1;70;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082002000200-36                            ;DUSUN 2;36;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082002000200-91                            ;DUSUN 2;91;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082002000300-76                            ;DUSUN 3;76;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000100-16                            ;DUSUN 1;16;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000100-24                            ;DUSUN 1;24;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000100-55                            ;DUSUN 1;55;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000100-61                            ;DUSUN 1;61;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000100-62                            ;DUSUN 1;62;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000100-75                            ;DUSUN 1;75;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000100-76                            ;DUSUN 1;76;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000100-79                            ;DUSUN 1;79;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000100-80                            ;DUSUN 1;80;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000100-84                            ;DUSUN 1;84;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000100-85                            ;DUSUN 1;85;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000100-87                            ;DUSUN 1;87;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000100-92                            ;DUSUN 1;92;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000100-93                            ;DUSUN 1;93;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000200-23                            ;DUSUN 2;23;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000200-26                            ;DUSUN 2;26;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000200-82                            ;DUSUN 2;82;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000200-85                            ;DUSUN 2;85;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000300-10                            ;DUSUN 3;10;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000300-107                           ;DUSUN 3;107;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000300-20                            ;DUSUN 3;20;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000300-21                            ;DUSUN 3;21;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000300-22                            ;DUSUN 3;22;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000300-60                            ;DUSUN 3;60;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000300-71                            ;DUSUN 3;71;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000300-72                            ;DUSUN 3;72;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000300-77                            ;DUSUN 3;77;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082003000300-9                             ;DUSUN 3;9;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082006000100-127                           ;DUSUN 1;127;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082006000100-14                            ;DUSUN 1;14;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082006000100-2                             ;DUSUN 1;2;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082006000100-74                            ;DUSUN 1;74;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082006000100-75                            ;DUSUN 1;75;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082006000200-10                            ;DUSUN 2;10;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082006000200-118                           ;DUSUN 2;118;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082006000200-132                           ;DUSUN 2;132;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082006000200-31                            ;DUSUN 2;31;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082006000200-6                             ;DUSUN 2;6;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082006000200-7                             ;DUSUN 2;7;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206082006000200-8                             ;DUSUN 2;8;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
